"name","intersection","A"
"Wfs1","A",1.222
"Adam22","A",1.221
"Gstt3","A",1.221
"Emilin1","A",1.213
"Cndp2","A",1.211
"Lrrc47","A",1.21
"Ciz1","A",1.208
"Atp6v0a1","A",1.206
"Pde2a","A",1.205
"Plat","A",1.204
"Ptk2","A",1.202
"Robo4","A",1.202
"Vars","A",1.196
"Vat1","A",1.19
"Lta4h","A",1.19
"Slc20a2","A",1.19
"Zdhhc8","A",1.189
"Gata3","A",1.189
"Atg9a","A",1.186
"Mbtps1","A",1.186
"Sik3","A",1.181
"Tmem104","A",1.18
"Sf3b2","A",1.177
"Tnfrsf21","A",1.176
"Sphk2","A",1.174
"Klhl36","A",1.172
"Tbx3","A",1.17
"Rcsd1","A",1.169
"Slc9a3r1","A",1.167
"Trp53","A",1.166
"Rpn2","A",1.163
"Rara","A",1.162
"Cdh13","A",1.16
"Gnl1","A",1.159
"Art3","A",1.159
"Cryl1","A",1.159
"Eif3d","A",1.157
"Fbln2","A",1.156
"Dhx8","A",1.156
"Plxnd1","A",1.149
"Slc26a10","A",1.148
"Tob2","A",1.147
"Afap1l1","A",1.146
"Ccdc71","A",1.145
"Pip5k1c","A",1.145
"Flii","A",1.143
"Inpp5b","A",1.141
"Trib3","A",1.141
"Gper1","A",1.141
"Adm","A",1.14
"Pygb","A",1.139
"Rarg","A",1.138
"Scarf1","A",1.137
"Lipe","A",1.132
"Nuak2","A",1.13
"Ipo13","A",1.127
"Galntl5","A",1.125
"L3mbtl2","A",1.122
"Nup188","A",1.121
"Vps37b","A",1.121
"Trim28","A",1.12
"Cd300lg","A",1.118
"Ppm1g","A",1.117
"Nrp1","A",1.116
"Micall2","A",1.116
"Ecm1","A",1.116
"Sun2","A",1.116
"Tap1","A",1.113
"Triobp","A",1.109
"Plbd2","A",1.107
"Scpep1","A",1.106
"Unc93b1","A",1.106
"Ddx10","A",1.102
"Tmem115","A",1.102
"Sncaip","A",1.102
"Pxdn","A",1.102
"Cep85l","A",1.098
"Zbed3","A",1.098
"Srsf4","A",1.097
"Vcp","A",1.096
"Pear1","A",1.095
"Tpst1","A",1.092
"Strip1","A",1.092
"Efemp2","A",1.089
"Hspg2","A",1.089
"N4bp3","A",1.088
"Ralgds","A",1.088
"Copg1","A",1.087
"Tfip11","A",1.087
"Upf3a","A",1.086
"Ier3","A",1.085
"Cxxc5","A",1.084
"Lgals3","A",1.081
"Tnfaip1","A",1.079
"Sox7","A",1.079
"Sult1a1","A",1.077
"Fbxw8","A",1.077
"Ndrg1","A",1.076
"Dcxr","A",1.074
"Gbp2","A",1.073
"Sf3b4","A",1.072
"Aldh3a2","A",1.072
"Sh3glb2","A",1.07
"G6pdx","A",1.069
"Nr1h2","A",1.069
"Otud6b","A",1.068
"Daxx","A",1.065
"Mfge8","A",1.064
"Zswim1","A",1.062
"Rasip1","A",1.062
"Tmem106a","A",1.059
"Tbc1d22a","A",1.058
"Natd1","A",1.058
"Man2c1","A",1.058
"Adora2a","A",1.057
"Zfp444","A",1.055
"Gm2a","A",1.055
"Eng","A",1.053
"Eef2","A",1.052
"Maged2","A",1.05
"Ddx28","A",1.05
"Tmcc3","A",1.049
"Apoe","A",1.048
"Dnm1l","A",1.048
"Cbfa2t3","A",1.046
"Slc16a2","A",1.045
"Chst14","A",1.044
"Nos3","A",1.044
"Pik3ip1","A",1.044
